tech_category,difficulty,question_desc,option_1,option_2,option_3,option_4,correct_answer
Web,beginner,Apa fungsi utama JavaScript dalam pengembangan web?,Membuat struktur halaman web,Mengatur tampilan halaman web,Menambahkan interaktivitas dan dinamisme ke halaman web,Mengelola database server,Menambahkan interaktivitas dan dinamisme ke halaman web
Web,beginner,Bagaimana cara mendeklarasikan variabel dalam JavaScript modern?,var x = 5;,let x = 5;,const x = 5;,Semua jawaban benar,Semua jawaban benar
Web,beginner,Apa yang dimaksud dengan 'responsive web design'?,Desain web yang cepat merespon input pengguna,Desain web yang dapat beradaptasi dengan berbagai ukuran layar,Desain web yang menggunakan banyak animasi,Desain web yang hanya untuk mobile,Desain web yang dapat beradaptasi dengan berbagai ukuran layar
Web,beginner,Apa fungsi utama dari tag <meta> dalam HTML?,Menambahkan metadata tentang dokumen HTML,Membuat hyperlink,Menentukan judul halaman,Menambahkan gambar ke halaman,Menambahkan metadata tentang dokumen HTML
Web,beginner,Apa yang dimaksud dengan 'box model' dalam CSS?,Model untuk membuat kotak dialog,"Cara CSS memperlakukan elemen sebagai kotak dengan content, padding, border, dan margin",Teknik untuk membuat layout grid,Model untuk membuat animasi kotak,"Cara CSS memperlakukan elemen sebagai kotak dengan content, padding, border, dan margin"
Web,beginner,Bagaimana cara menghubungkan file CSS eksternal ke dokumen HTML?,<style src='styles.css'>,<link rel='stylesheet' href='styles.css'>,<css>styles.css</css>,<script src='styles.css'>,<link rel='stylesheet' href='styles.css'>
Web,beginner,Apa fungsi dari atribut 'alt' pada tag <img>?,Menentukan sumber gambar,Mengatur ukuran gambar,Memberikan teks alternatif jika gambar tidak dapat ditampilkan,Menambahkan tautan ke gambar,Memberikan teks alternatif jika gambar tidak dapat ditampilkan
Web,beginner,Apa yang dimaksud dengan 'semantic HTML'?,HTML yang menggunakan banyak warna,HTML yang memberikan makna pada struktur konten,HTML yang hanya menggunakan tag <div>,HTML yang fokus pada tampilan visual,HTML yang memberikan makna pada struktur konten
Web,beginner,Bagaimana cara membuat komentar dalam JavaScript?,// Ini adalah komentar,<!-- Ini adalah komentar -->,# Ini adalah komentar,``` Ini adalah komentar ```,// Ini adalah komentar
Web,beginner,Apa fungsi utama dari tag <header> dalam HTML5?,Menandai bagian atas halaman web,Membuat judul besar,Menambahkan logo situs,Semua jawaban benar,Semua jawaban benar
Web,beginner,Apa yang dimaksud dengan 'flexbox' dalam CSS?,Teknik untuk membuat animasi fleksibel,Model layout yang memudahkan pengaturan elemen dalam container,Cara untuk membuat teks yang fleksibel,Metode untuk membuat gambar yang responsif,Model layout yang memudahkan pengaturan elemen dalam container
Web,beginner,Bagaimana cara mendeklarasikan fungsi dalam JavaScript?,function myFunction() {},def myFunction() {},void myFunction() {},func myFunction() {},function myFunction() {}
Web,beginner,Apa yang dimaksud dengan 'DOM' dalam konteks web development?,Document Object Model,Data Object Management,Digital Output Method,Dynamic Object Manipulation,Document Object Model
Web,beginner,Apa fungsi utama dari tag <footer> dalam HTML5?,Menandai bagian bawah halaman web,Membuat tulisan kecil,Menambahkan hak cipta,Semua jawaban benar,Semua jawaban benar
Web,beginner,Apa yang dimaksud dengan 'pseudo-class' dalam CSS?,Kelas palsu yang tidak ada dalam HTML,Selector khusus yang memilih elemen dalam keadaan tertentu,Kelas yang hanya bisa digunakan sekali,Selector untuk elemen yang tersembunyi,Selector khusus yang memilih elemen dalam keadaan tertentu
Web,beginner,Bagaimana cara menambahkan event listener ke elemen HTML menggunakan JavaScript?,"element.addEvent('click', function() {});",element.onClick = function() {};,"element.addEventListener('click', function() {});","element.on('click', function() {});","element.addEventListener('click', function() {});"
Web,beginner,Bagaimana cara terbaik menangani form dalam React?,Selalu menggunakan uncontrolled components,Selalu menggunakan controlled components,Menggunakan controlled components untuk sebagian besar kasus,Tidak ada perbedaan antara controlled dan uncontrolled components,Menggunakan controlled components untuk sebagian besar kasus
Web,intermediate,Apa fungsi utama dari PropTypes dalam pengembangan React?,Untuk mengoptimalkan performa komponen,Untuk memvalidasi tipe data props yang diterima komponen,Untuk menentukan urutan render komponen,Untuk mengatur state komponen,Untuk memvalidasi tipe data props yang diterima komponen
Web,intermediate,"Dalam konteks React Router, apa yang dimaksud dengan 'Single-Page Application'?",Aplikasi yang hanya memiliki satu halaman HTML,Aplikasi yang menggunakan satu komponen React,Aplikasi yang memuat konten baru tanpa me-refresh seluruh halaman,Aplikasi yang hanya bisa diakses oleh satu pengguna,Aplikasi yang memuat konten baru tanpa me-refresh seluruh halaman
Web,intermediate,Bagaimana cara menangani parameter URL dalam React Router?,Menggunakan props.params,Menggunakan useParams hook,Menggunakan state komponen,Menggunakan localStorage,Menggunakan useParams hook
Web,intermediate,Apa yang dimaksud dengan 'Component Lifecycle' dalam React?,Urutan eksekusi metode dalam komponen React,Proses pembuatan komponen React,Cara menghapus komponen React,Metode untuk mengoptimalkan performa komponen,Urutan eksekusi metode dalam komponen React
Web,intermediate,"Dalam konteks React, apa fungsi utama dari useEffect hook?",Untuk menangani state komponen,Untuk melakukan side effects dalam functional component,Untuk membuat custom hooks,Untuk merender komponen,Untuk melakukan side effects dalam functional component
Web,intermediate,Apa keuntungan menggunakan React Context dibandingkan dengan prop drilling?,React Context selalu lebih cepat,React Context memungkinkan sharing state tanpa passing props secara manual,React Context otomatis mengoptimalkan performa aplikasi,React Context menghilangkan kebutuhan state management,React Context memungkinkan sharing state tanpa passing props secara manual
Web,intermediate,Apa perbedaan utama antara useState dan useReducer hooks?,"useState hanya untuk string, useReducer untuk tipe data lainnya","useState untuk state sederhana, useReducer untuk state yang lebih kompleks","useState sync, useReducer async","useState untuk functional component, useReducer untuk class component","useState untuk state sederhana, useReducer untuk state yang lebih kompleks"
Web,intermediate,Apa fungsi utama dari 'Express.js' dalam pengembangan web?,Framework front-end untuk membuat UI,Library untuk manipulasi DOM,Web application framework untuk Node.js,Tool untuk mengoptimalkan gambar web,Web application framework untuk Node.js
Web,intermediate,Apa yang dimaksud dengan 'JWT' dalam konteks autentikasi web?,JavaScript Web Token,JSON Web Token,Java Web Toolkit,Joint Web Technology,JSON Web Token
Web,intermediate,Apa fungsi dari key prop saat me-render list di React?,Untuk styling elemen list,"Untuk membantu React mengidentifikasi item yang berubah, ditambah, atau dihapus",Untuk menentukan urutan render list,Hanya sebagai identifier unik tanpa fungsi khusus,"Untuk membantu React mengidentifikasi item yang berubah, ditambah, atau dihapus"
Web,intermediate,Apa fungsi utama dari 'Babel' dalam pengembangan JavaScript modern?,Untuk membuat animasi web,Untuk mengompres kode JavaScript,Untuk menerjemahkan kode JavaScript modern ke versi yang kompatibel dengan browser lama,Untuk mendeteksi bug dalam kode JavaScript,Untuk menerjemahkan kode JavaScript modern ke versi yang kompatibel dengan browser lama
Web,intermediate,Bagaimana cara terbaik menangani error dalam React?,Menggunakan try-catch di setiap komponen,Menggunakan Error Boundaries,Mengandalkan global error handler,Mengabaikan error dan fokus pada user experience,Menggunakan Error Boundaries
Web,intermediate,Apa fungsi utama dari 'GraphQL' dalam pengembangan API?,Untuk membuat grafik dan chart,Query language untuk API yang memungkinkan client menentukan data yang dibutuhkan,Tool untuk mengoptimalkan database graph,Framework untuk membuat UI berbasis grafik,Query language untuk API yang memungkinkan client menentukan data yang dibutuhkan
Web,intermediate,Apa yang dimaksud dengan 'closure' dalam JavaScript?,Fungsi yang menutup browser,Fungsi yang memiliki akses ke variabel di lingkup luar,Fungsi yang tidak dapat diakses dari luar,Fungsi yang hanya berjalan sekali,Fungsi yang memiliki akses ke variabel di lingkup luar
Web,intermediate,Apa perbedaan utama antara 'props' dan 'state' dalam React?,"Props bisa diubah, state tidak","State diteruskan dari parent ke child, props tidak","Props adalah data yang diteruskan ke komponen, state adalah data yang dikelola dalam komponen","Tidak ada perbedaan, keduanya sama","Props adalah data yang diteruskan ke komponen, state adalah data yang dikelola dalam komponen"
Web,intermediate,Apa fungsi utama dari 'useEffect' hook dalam React?,Untuk menambahkan efek visual ke komponen,Untuk mengelola state komponen,Untuk melakukan side effects dalam functional components,Untuk meningkatkan performa rendering,Untuk melakukan side effects dalam functional components
Web,intermediate,Apa yang dimaksud dengan 'RESTful API'?,API yang selalu dalam keadaan istirahat,Architectural style untuk merancang networked applications,API yang hanya menggunakan metode GET,Protokol untuk mentransfer data besar,Architectural style untuk merancang networked applications
Web,advanced,Apa yang dimaksud dengan 'Application Shell' dalam konteks Progressive Web Apps?,Struktur UI minimal yang dapat dimuat dengan cepat saat aplikasi pertama kali dibuka,Kerangka kerja untuk mengembangkan aplikasi mobile,Lapisan keamanan untuk melindungi aplikasi web,Metode untuk mengoptimalkan performa server,Struktur UI minimal yang dapat dimuat dengan cepat saat aplikasi pertama kali dibuka
Web,advanced,Bagaimana cara terbaik menerapkan 'Offline Capability' pada Progressive Web App?,Menyimpan semua data di localStorage,Menggunakan Service Worker dan Cache API,Menonaktifkan semua fitur online,Menggunakan cookie untuk menyimpan data,Menggunakan Service Worker dan Cache API
Web,advanced,Apa keuntungan utama menggunakan Redux Middleware dalam manajemen state aplikasi React?,Meningkatkan performa rendering komponen,Memungkinkan penanganan side effects dan logika asinkron dalam alur Redux,Mengurangi ukuran bundle aplikasi,Mempermudah routing dalam aplikasi,Memungkinkan penanganan side effects dan logika asinkron dalam alur Redux
Web,advanced,"Dalam konteks Clean Architecture pada pengembangan back-end, apa yang dimaksud dengan 'Use Case'?",Lapisan yang berinteraksi langsung dengan database,Komponen yang menangani logika bisnis aplikasi,Antarmuka untuk berinteraksi dengan pengguna,Modul yang menangani konfigurasi server,Komponen yang menangani logika bisnis aplikasi
Web,advanced,Apa tujuan utama dari penerapan 'Code Splitting' dalam aplikasi React?,Meningkatkan keamanan aplikasi,Memisahkan kode berdasarkan fungsinya,Mengoptimalkan performa dengan memuat kode sesuai kebutuhan,Mempermudah proses debugging,Mengoptimalkan performa dengan memuat kode sesuai kebutuhan
Web,advanced,Bagaimana cara terbaik menerapkan 'Server-Side Rendering' (SSR) pada aplikasi React?,Menggunakan Create React App,Mengimplementasikan Next.js atau framework SSR lainnya,Merender semua komponen di server,Menggunakan Static Site Generation untuk semua halaman,Mengimplementasikan Next.js atau framework SSR lainnya
Web,advanced,Apa yang dimaksud dengan 'Domain-Driven Design' (DDD) dalam pengembangan aplikasi back-end?,Teknik untuk mengoptimalkan query database,Pendekatan pengembangan yang fokus pada domain bisnis dan logikanya,Metode untuk merancang antarmuka pengguna,Strategi untuk meningkatkan SEO website,Pendekatan pengembangan yang fokus pada domain bisnis dan logikanya
Web,advanced,"Dalam konteks pengujian aplikasi web, apa perbedaan utama antara 'Integration Testing' dan 'End-to-End Testing'?","Integration Testing lebih cepat, E2E Testing lebih lambat tetapi lebih komprehensif","Integration Testing untuk back-end, E2E Testing untuk front-end","Integration Testing menggunakan data palsu, E2E Testing menggunakan data real","Integration Testing manual, E2E Testing otomatis","Integration Testing lebih cepat, E2E Testing lebih lambat tetapi lebih komprehensif"
Web,advanced,Apa keuntungan utama menggunakan 'Microservices Architecture' dibandingkan dengan 'Monolithic Architecture'?,Microservices selalu lebih cepat,Microservices memungkinkan skalabilitas dan pengembangan yang lebih fleksibel,Microservices menghilangkan kebutuhan akan database,Microservices otomatis meningkatkan keamanan aplikasi,Microservices memungkinkan skalabilitas dan pengembangan yang lebih fleksibel
Web,advanced,Apa yang dimaksud dengan 'lazy loading' dalam konteks pengembangan aplikasi Front-End?,Teknik untuk memperlambat loading komponen UI,Memuat berkas JavaScript hanya ketika dibutuhkan,Mengoptimalkan gambar dalam aplikasi web,Menunda inisialisasi state komponen,Memuat berkas JavaScript hanya ketika dibutuhkan
Web,advanced,Apa keuntungan menggunakan CSS-in-JS dalam React?,Selalu menghasilkan performa yang lebih baik,Memungkinkan dynamic styling berdasarkan props atau state,Menghilangkan kebutuhan akan CSS,Otomatis mengoptimalkan CSS untuk berbagai browser,Memungkinkan dynamic styling berdasarkan props atau state
Web,advanced,"Dalam konteks web development, apa yang dimaksud dengan 'Progressive Enhancement'?",Teknik untuk meningkatkan performa website secara bertahap,"Strategi membuat website yang berfungsi untuk semua pengguna, kemudian menambahkan fitur canggih untuk browser modern",Metode untuk meningkatkan SEO website,Proses upgrade framework secara bertahap,"Strategi membuat website yang berfungsi untuk semua pengguna, kemudian menambahkan fitur canggih untuk browser modern"
Web,advanced,Apa fungsi utama dari service worker dalam web development?,Untuk mengelola state aplikasi,Untuk memungkinkan fungsionalitas offline dan meningkatkan performa,Untuk mengoptimalkan rendering komponen React,Untuk menangani autentikasi pengguna,Untuk memungkinkan fungsionalitas offline dan meningkatkan performa
